,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
GW828525X,4.506193283,0.24,1.22,0.98,0.05,0,-0.15,-0.64,-0.47,0.93,2.74,-1.39,2.35,4.59,5.87,1.47,0.55,1.47,-0.19,1.22,0.73,1.09,0.92,0.19,-0.24,0.13,-0.15,3.23,5.23,-0.44,-0.31,0.36,0.02,0.21,0.44,-0.49,0.27,1.21,-2.06,0.17,0.62,-0.13,2.19,4.18,2.34,2.65,-0.19,2.62,1.4,3.05,2.23,-0.07,1.43,1.11,0.3,2.48,-0.74,-0.31,-0.83,-0.07,1.78,0.62,0.05,0.95,0.92,-0.07,-0.13,1.21,0.01
GW829874X,0.292678253,-0.29,2.07,0.09,-0.37,-0.08,0.18,0.95,-0.43,0.96,-0.06,0.17,-0.33,0.8,-0.1,-0.09,0.7,0.11,-0.49,-0.72,-0.37,0.34,0.58,-0.18,-0.05,-0.32,0.28,0.24,0.24,-0.17,-0.38,-0.04,-0.2,,-0.02,-0.05,-0.36,0.07,-0.83,-0.81,-0.86,0.25,1.05,0.95,0,0.12,0.14,0.88,-0.59,0.78,1.07,0.69,0.1,0.35,-0.45,0.08,-0.44,-0.36,-0.09,0.03,-0.08,-0.28,0.18,5.38,,0.48,-0.19,0.17,0.21
GW829877X,4.695634894,0.23,1.11,0.36,-0.32,-0.08,1.17,1.03,-0.01,0.49,0.61,-1.73,0.62,0.49,0.7,0.59,,0.66,0.01,0.25,0,1.19,0.34,0.14,-0.06,0.2,-0.14,-0.07,0.13,-0.09,-0.11,-0.35,-0.22,0.4,-0.14,-0.05,-0.16,0.35,0.44,0.28,0.23,0.75,1.17,1.29,-0.3,0.79,0.04,0.18,0.03,0.62,0.17,1.52,0.63,0.16,0.6,0.31,-0.12,0.33,-0.38,0.46,0.33,0.19,0.06,4.71,0.29,-3.31,-0.02,0.3,0
GW830263A,8.381135325,4.43,5.12,5.64,-0.26,0.55,5.23,1.73,1.17,0.82,6.22,3.54,6.47,10.26,14.44,2.11,0.23,0.71,0.35,0.02,-0.22,10.75,1.09,-0.66,-0.38,-0.44,3.05,0.28,0.48,0.27,5.52,0.46,1.02,,0.31,0.4,-0.07,2.55,2.29,2.57,5.33,1.25,4.33,0.86,0.2,-0.08,-0.47,2.31,3.13,7.39,3.64,6.71,0.37,2.44,1.18,4.7,0.27,0.93,0.4,1.47,0.6,0.55,0.26,0.55,1.35,1.03,0.05,1.83,0.04
GW830900A,0.96543573,0.99,1.73,1.09,0.03,0.45,2.01,-0.52,-0.1,-0.61,0.77,-1.43,1.52,3.77,7.99,0.58,-0.49,0.32,-0.03,0.31,0.04,6.33,0.36,0.17,0.03,-0.55,1,0.11,0.16,-0.44,0.39,-0.32,-0.1,1.36,0.58,0.06,-0.32,2.19,2.78,1.49,3.67,0.27,1.96,-0.25,0.18,-0.17,-0.28,-0.23,0.62,5.59,2.32,6.07,0.27,0.32,0.22,1.85,-0.28,0.24,0.07,0.03,0.37,-0.03,-0.2,0.4,0.34,0.3,0.15,0.62,-0.26
GW831090X,1.27938922,-0.01,0.35,-0.18,-0.36,-0.31,0.37,-0.75,-0.48,1.76,0.6,0.18,1.29,-0.21,0.37,0.15,-0.8,0.62,0.3,0.99,0.25,0.61,1.19,0.38,-0.18,2.96,0.04,0.32,-0.07,-0.46,1.22,0.13,-0.15,0.64,0.01,-0.1,0.02,0.98,2.68,1.15,2.43,4.59,4.05,1.94,2,0.84,-0.3,1.06,0.24,1.81,-0.34,1.23,1.09,5.7,1.04,-0.14,-0.54,0.32,-0.33,-0.14,0.11,-0.14,0.24,1.77,0.82,1.77,-0.04,1.05,-0.78
GW831091X,1.234020004,0.74,0.96,0.25,-0.56,-0.41,1.45,-0.01,0.18,2.15,2.11,2.69,4.3,4.33,3.44,0.36,-0.46,0.89,1.13,3.64,-0.11,2.03,2.11,0.33,-0.27,1.02,1.26,0.43,0.24,-0.42,3.54,-0.32,0.08,1.01,0.26,0.38,0.35,1.51,4,2.34,5.18,4.01,7.66,0.81,1.42,0.37,0,2.25,2.4,3.43,1,2.17,1.53,11.43,3.75,-0.06,-0.18,0.39,0.15,0.06,0.01,-0.18,0.3,1.66,0.38,3.73,-0.6,1.57,-0.66
GW832467X,1.847495534,0.13,0.39,-0.06,0.29,-0.45,0.27,-0.63,-0.58,1.49,1.4,-0.58,0.85,2.47,3.15,0.24,-0.01,1.49,0.1,0.06,-0.01,-0.14,0.77,0.04,-0.42,0.7,-0.14,2.85,4.02,-0.49,-0.96,0.8,0.48,0.31,0.35,-0.25,-0.17,0.26,0.23,-0.28,-0.15,-0.69,1.71,1.21,0.93,1.23,-0.22,1.6,0.17,2.11,3.1,-0.07,0.72,-0.06,0.13,1.42,-0.62,-0.2,-0.45,-0.15,-0.08,0.04,-0.03,1.05,0.78,-0.2,-0.99,0.39,-0.19
GW837331X,8.276066983,1.28,1.47,1.93,1.09,0.57,4.39,0.24,0.93,2.02,4.3,1.6,2.86,1.01,3.03,6.32,0.24,1.12,0.83,2.33,0.49,3.85,1.96,0.49,-0.19,0.4,2.67,0.91,1.11,-0.09,1.41,1.11,0.01,1.35,0.41,0.34,2.12,6.5,3.91,4.68,8.67,0.75,6.23,2.7,2.05,1.52,5.43,10.38,0.27,10,4.28,2.45,2.08,2.3,1.77,1.92,-0.33,1.64,0.13,0.66,1.6,0.94,1.03,5,3.88,1.29,2.95,3.06,0.6
GW843682X,1.324239718,0.27,0.6,0.08,-0.07,-0.12,0.91,-0.21,-0.58,-0.09,-0.33,2.73,0.62,4.59,7.46,1.02,-0.04,0.68,0.09,1,-0.14,4.56,-0.62,-0.06,-0.32,0.93,1.42,0.47,0.57,-0.51,-0.7,0.49,-0.02,0.14,-0.37,0.33,0.41,1.89,2.99,0.24,0.84,1.53,1.03,-0.04,0.94,1,-0.06,1.76,0.42,2.21,2.68,4.09,-0.06,-0.45,-0.07,0.91,-0.31,-0.57,-0.5,0.06,1.27,0.07,-0.4,2.8,1.38,2.12,0.46,0.04,0.35
GW846105X,-1.99469717,-0.06,0.1,-0.05,0.08,-0.16,0.14,-0.45,-0.26,0.44,0.18,0.31,-0.42,0.56,0.2,0.07,-0.7,0.12,0.18,0.28,-0.08,-0.79,0.49,0.19,-0.06,0.97,-0.18,0.13,-0.27,-0.12,-0.74,0.27,0.49,0.1,-0.25,-0.64,-0.27,0.29,-0.24,-0.1,0.45,-0.94,0.81,0.43,0.35,0.15,-0.42,1.02,-0.45,0.42,-0.55,-0.02,0.36,0.15,0.34,0.53,-0.65,0.27,-0.09,-0.17,-0.62,-0.46,-0.03,0.65,0.1,0.59,-1.02,0.06,-0.01
GW852849X,4.247863814,0.09,1.25,0.43,-0.45,-0.2,2.2,,-0.46,-0.43,-0.14,-2.55,1.61,4.58,8.72,1.13,-0.85,1.13,0.24,2.14,0.06,4.7,-0.62,-0.06,-0.37,2,1.19,3.07,3.64,-0.63,-0.23,-0.64,1.49,1.89,-0.35,0.59,0.19,2.88,4.2,0.79,1.36,0.73,1.96,0.54,0.29,0.86,-0.29,4.24,0.89,3.08,3.64,4.75,0.32,0.21,-0.01,0.92,-0.39,0.04,-0.72,0.04,0.67,0.16,-0.22,2.55,-0.09,-3.54,0.03,0.52,-0.05
GW853606X,-0.4192886,0.36,0.35,-0.15,-0.2,-0.4,,0.06,-0.81,0.81,1.97,0.01,0.26,,2.43,2.65,-0.65,0.73,0.1,1.22,1.7,0.44,0.38,0.11,-0.46,4.43,-0.18,2.16,3.17,0,-0.72,-1.1,-0.16,-0.14,0.45,1.55,1.59,1.44,0.72,0.08,1.54,3.95,2.53,2.37,2.29,2.94,-0.07,1.26,2.08,3.75,0.54,1.26,1.53,0.39,0.21,1.77,-0.2,-0.29,-0.43,-0.19,1.54,0.27,1.47,9.81,2.27,0.62,-0.07,1.79,-1.06
GW853609X,2.887328608,0.59,0.49,0.63,0.03,-0.14,0.11,-0.22,-0.3,0.49,0.56,-0.06,1.43,,2.3,1.57,0.94,0.74,-0.59,-0.35,-0.05,0.11,0.47,0.25,-0.09,-0.3,0.07,0.74,0.24,-0.09,-0.38,-0.92,-0.23,0.31,0.87,1.35,0.11,0.34,-0.25,0.11,-0.01,1.89,2.17,2.48,1.43,1.95,-0.2,0.52,0.22,2.15,0.4,2.52,0.36,-0.09,0.19,-0.21,0.05,0.08,-0.02,-0.05,0.44,0.53,-0.56,2.65,0.3,-0.25,0.72,0.81,-0.04
GW856804X,4.403973947,3.45,,3.14,-0.13,-0.01,,,0.88,1.15,0.44,,10.17,-0.1,5.52,1.04,-0.36,6.71,1.26,1.95,0.33,1.68,1.14,0.1,-0.12,0.9,0.23,4.17,4.68,-0.02,,0.53,4.99,1.29,0.29,-0.22,0.4,3.62,5.08,0.51,2.49,-0.65,1.34,2.63,0.76,0.56,-0.15,7.97,1.03,3.08,8.54,0.77,0.52,-0.18,-0.01,2.43,-3.18,0.54,-0.29,,0.06,-0.07,0.55,0.28,-1.07,-0.22,-1.17,0,0.08
GW869810X,9.84583443,0.49,0.65,0.27,0.75,-0.17,0.82,-0.72,0.62,1.58,2.18,-0.28,1.06,1.9,5.75,0.21,-0.06,0.43,-0.38,0.18,0.09,1.89,1.11,0.12,-0.12,,0.18,0.03,0.18,-0.6,-0.58,1.05,-0.41,1.14,-0.22,-0.25,0.52,0.98,0.56,-0.15,0.28,0.19,2.51,2.85,1.66,1.46,-0.1,5.34,0.67,0.79,0.59,0.88,1,0.04,0.13,0.55,-0.43,-0.35,-0.23,-0.48,0.34,0.41,0.41,0.51,0.37,0.2,0.28,0.85,0.05
SB-210313,1.189688223,-0.05,-0.11,-0.19,0.03,-0.2,-0.07,-0.19,0.32,-0.31,-0.44,-0.06,-0.02,,0.35,-0.18,0.66,1.39,0.18,-0.56,1.49,0.44,0.13,0.06,-0.03,-0.02,-0.19,0.22,0.31,0.19,-0.21,-1.03,-0.35,-0.36,0.5,0,-0.1,-0.55,0.23,-0.12,0.04,0.24,-0.19,-0.09,-0.07,0.17,0.16,0.04,-0.11,0.73,0.95,0.31,-0.08,0,0.05,0.9,0.15,0,0.15,-0.22,-0.16,0.03,0.15,-0.14,0.14,-0.33,0.12,0.41,0
SB-216385,1.44068358,0.07,0.28,0.24,-0.79,-0.36,0.93,-0.74,-0.37,-0.5,-0.09,-0.64,0.43,,-0.36,0.46,-0.12,4.22,0.61,0.38,0.49,-0.05,0.13,0.62,-0.29,0.06,-0.09,1.82,2.05,-0.24,-0.71,-1.47,0.08,-0.41,0.1,-0.21,0.22,0.04,1.86,0.08,0.2,0.45,-0.34,0.2,0.35,0.05,-0.3,0.04,0.05,0.55,1.18,0.97,-0.08,-0.2,0.11,1.41,-0.33,0.07,-0.09,-0.26,0.02,-0.03,-0.76,0.9,0.32,0.4,-0.52,0.85,-0.48
SB-220025-A,2.819256334,0.03,0.49,-0.2,-0.79,-0.27,0.99,-0.85,-0.45,-0.39,0.03,-0.06,1.34,,-0.39,0.15,-0.1,8.63,1.28,-0.19,0.14,-0.27,0.2,0.27,-0.34,0.58,-0.33,2.82,5.11,0.25,-1.07,-0.02,1.11,-0.16,-0.04,-0.26,-0.08,1.31,5.05,-0.14,0.22,-0.51,-0.52,0.04,0.68,0.21,-0.59,-0.01,-0.19,0.5,0.66,0.32,-0.3,-0.52,-0.07,0.31,0.4,0.6,-0.15,-0.56,-0.08,-0.21,-0.77,0.09,0.05,0.65,0.26,0.3,-0.69
SB-220025-R#3,0.756133404,0.33,0.67,0.21,-0.64,-0.28,1.86,-1.23,-0.57,0.08,0.42,-0.06,1.75,6.31,-0.14,0.07,-0.7,8.58,1.86,0.58,0.42,-0.46,0.48,0.44,-0.09,0.44,-0.2,3.24,4.95,0,-0.62,1.09,1.64,-0.07,-2.09,-0.85,-0.17,1.82,5.41,0.25,1.06,0.37,0.07,1.05,1.78,1.35,-0.51,0.36,-0.1,0.61,0.79,1.08,0.18,0.19,0.38,0.47,-0.21,0.98,-0.35,-0.28,0.04,-0.1,-0.19,2.55,-0.58,1.2,-0.28,-0.14,-0.41
SB-220455,0.591681576,0.11,0.57,0.38,-0.29,0.2,2.37,-0.54,0.39,-0.64,-0.27,3.03,0.96,-0.56,0.12,0.12,-0.41,6.29,0.51,0.89,0.65,1.25,0.03,0.34,-0.04,-0.31,-0.13,2.49,3.09,-0.14,-0.87,0.43,0.84,0.44,-0.25,-0.58,0.09,0.69,-1.43,0.44,1.35,1.11,0.77,2.13,2.67,1.7,-0.2,-0.32,-0.14,0.23,1.71,2.19,-0.09,0.39,-0.11,1.33,-0.05,0.12,-0.36,-0.49,-0.11,-0.13,-0.57,2.11,0.95,1.85,0.14,0.07,-0.18
SB-221466,0.786033736,0.05,0.09,-0.11,-0.93,-0.29,0.04,-0.54,0.65,-0.79,0.08,-0.38,0.82,,0.11,0.3,-0.06,5.21,0.67,0.2,0.07,-0.15,0.11,0.38,-0.29,-0.4,-0.17,-0.04,0.2,-0.06,-1.07,-1.02,-0.23,-0.47,-0.09,-0.09,0.12,0.57,-0.14,-0.53,0.19,-1.09,-0.46,-0.36,0.37,-0.05,-0.38,-0.09,-0.01,0.15,-0.54,0.5,-0.04,-0.38,-0.14,-0.18,-0.17,-0.13,0.04,-0.18,0.16,-0.22,-0.64,0.22,-0.17,0.11,-0.6,0.48,-0.54
SB-223133,4.058422203,0.61,2.51,0.58,-0.9,-0.21,5.08,-1.55,-0.51,-0.83,-0.5,0.03,4.28,,1.07,0.5,0.32,8.56,1.34,0.67,0.83,2.1,0.16,0.39,-0.29,0.06,-0.11,3.17,5.1,0.26,-0.53,-1.02,0.95,-0.25,0.07,-0.06,0.39,2.29,4.52,-0.07,0.83,-0.69,-0.45,0.13,0.56,-0.01,-0.38,-0.02,0.26,0.83,4.58,1.65,0.11,-0.4,0.02,4.32,-0.32,0.09,0.19,-0.12,0.42,0.11,-0.41,0.24,0.71,0.74,1.22,1.01,-0.5
SB-226879,0.700139101,-0.12,0.32,-0.03,0.29,-0.15,1.15,-1.29,-0.51,-0.49,-0.38,-1.46,0.85,-0.7,-0.3,-0.22,-0.68,6.71,0.85,0.59,-0.03,-0.48,0.13,0.28,0.05,1.28,-0.33,1.2,2.05,-0.72,-0.73,-0.17,0.23,0.09,0.25,-0.63,-0.29,0.47,-1.32,0.08,0.8,-0.63,-0.75,-0.03,0.87,0.03,-0.52,-0.28,-0.01,0.22,1.86,0.17,0.23,-0.1,0.16,1.91,-0.41,0.17,-0.08,-0.22,0,-0.12,-0.2,0.48,0.92,0.72,-0.54,0.23,-0.36
SB-236687,6.572829039,0.14,1.55,-0.14,-0.25,0.06,-0.03,-1.77,0.18,-0.86,-0.6,0.33,5.23,0.12,0.85,1.05,-0.63,7.56,3.83,2.71,-0.12,-0.23,-0.2,0.19,-0.2,0.38,-0.41,1.08,1.72,0.2,-0.69,-0.93,3.72,0.35,-0.52,-0.78,-0.26,0.81,-1.36,-0.33,1.14,-0.73,-0.63,-0.35,1.38,-0.22,-0.27,-0.23,0.03,0.46,4.99,-0.14,-0.25,0.41,-0.1,4.66,1.66,0.36,-0.19,-0.66,-0.18,-0.27,-0.62,0.1,0.11,0.24,1.95,0.5,-0.57
SB-239272,4.000319461,0.08,0.26,0.15,-0.44,-0.27,-0.32,-1.07,-0.56,0.08,-0.93,1.26,2.95,0.74,-0.39,0.32,0.59,3.86,1.42,0.34,-0.05,-0.24,-0.38,-0.01,-0.39,0,-0.32,0.25,1.26,-0.13,-0.52,-0.45,2.8,0.35,-0.17,-0.13,-0.12,0.24,1.86,0.23,0.14,-0.51,-0.33,0.07,-0.7,-0.36,-0.14,-0.15,-0.47,0.04,1,-0.13,-0.29,-0.56,0.75,1.67,-0.7,0.16,0,0.1,-0.15,0,-0.46,0.73,0.32,-2.44,-0.66,-0.55,-0.49
SB-242717,2.835662714,0.17,0.06,0.24,-0.5,-0.24,-0.29,-0.78,-0.41,0.21,-0.1,-1.96,1.36,0.84,-0.17,0.53,-0.78,2.98,0.67,0.26,0.11,-0.13,-0.21,-0.01,-0.24,-0.06,-0.33,0.01,0.55,-0.17,-0.33,-0.48,2.06,0.32,-0.17,0.09,0,0.12,0.82,0.14,0.24,-0.47,-0.06,0.08,-0.43,0.1,-0.2,0.09,-0.32,-0.15,-0.27,-0.1,-0.19,-0.23,0.59,0.22,-0.42,0.15,-0.22,0.12,-0.05,0.07,-0.34,0.38,0.08,-2.64,0.17,0.33,-0.4
SB-242718,1.234020004,0,0.3,-0.43,-0.65,-0.16,0.07,-1.12,-1.57,-0.75,-0.85,-1.24,1.94,0.52,-0.16,-0.21,-1.32,3.97,0.49,0.34,-0.14,-0.58,0.27,0.21,0.08,0.21,-0.45,-0.01,0.14,-0.65,-0.49,-0.09,2.89,,-0.57,-0.37,0.01,0.29,-0.07,-0.05,0.22,-0.97,0.14,0.67,-0.23,-0.38,-0.68,-0.14,-0.28,0.08,0.93,-0.1,-0.05,-0.43,-0.12,1.18,-1.19,-0.21,-0.36,-0.69,0.13,-0.22,-0.68,0.55,1.04,-0.04,-0.46,0.04,-0.69
